id,spectra_fname,footprint,tile_id,subtile_id,ra,dec,row,column,trusted_wave_lo,trusted_wave_hi,quality,gt_spectra_id
str,str,str,str,str,float32,float32,int,int,int,int,str,str
L676685,spec1d.mn44.012.lid_736,9812,1,5,149.408493,2.325505,118,220,6000,8000,awesome,0
C1347270,spec1d.mn44.054.MIPS_6584,9812,1,5,149.3690949,2.3440881,516,1064,6000,8000,awesome,1
C1346616,spec1d.mn44.004.lid_731,9812,1,5,149.3811035,2.361963,899,807,6000,8000,awesome,2
C1346533,spec1d.mn44.066.3203,9812,1,5,149.377594,2.3632109,926,882,6000,8000,awesome,3
L709816,spec1d.mn44.001.lid_2273,9812,1,5,149.3825989,2.3741829,1161,775,6000,8000,awesome,4
L732793,spec1d.mn44.041.serendip,9812,1,5,149.392334,2.408603,1899,567,6000,8000,good,5
C1345095,spec1d.mn44.046.MIPS_35174,9812,1,5,149.3820953,2.409508,1918,786,6000,8000,fair,6
L733387,spec1d.mn44.042.MIPS_30293,9812,1,5,149.3909,2.410241,1934,598,6000,8000,good,7
C1345098,spec1d.mn44.046.serendip,9812,1,5,149.38211,2.4109753,1949,786,6000,8000,fair,8
C1344930,spec1d.mn44.067.1943,9812,1,5,149.3744965,2.4152501,2041,949,6000,8000,awesome,9
C1344754,spec1d.mn44.043.MIPS_30328,9812,1,5,149.3755035,2.423475,2217,927,6000,8000,bad,10
